,cell ID,Cahtode,Anode,Source,Ah,form factor,Temp,max soc,min soc,Charge rate,Discharge Rate,Mean_Q10-100,Minimum_Q10-100,Variance_Q10-100,Skewness_Q10-100,Kurt_Q10-100,index_lifetime,slope_2to100,intercept_2to100,slope_91to100,intercept_91to100
0,SNL_18650_LFP_15C_0-100_0.5/1C_a,LFP,graphite,snl,1.1,18650,15,100,0,0.5,1.0,5.822216325467041,8.863653472371894,10.375587833881163,1.1082209254772308,2.123451506287785,2179,-0.0006355794426486609,1.0754028843027366,0.0,1.032
1,SNL_18650_LFP_15C_0-100_0.5/1C_b,LFP,graphite,snl,1.1,18650,15,100,0,0.5,1.0,6.0897717962673825,11.0018770665416,11.052528733822843,1.202812077607241,2.3818541114321445,2328,-0.0006441609446027715,1.0864076787228478,0.0,1.042
2,SNL_18650_LFP_15C_0-100_0.5/2C_a,LFP,graphite,snl,1.1,18650,15,100,0,0.5,2.0,1.3874853575231973,9.516198211873714,0.4472286391461767,1.8169002742119573,3.6788233792701632,2486,-0.0006333161193249552,1.073278382393257,0.0,1.03
3,SNL_18650_LFP_15C_0-100_0.5/2C_b,LFP,graphite,snl,1.1,18650,15,100,0,0.5,2.0,1.0674019025822803,6.646023752504004,0.03139854585517201,1.7104665377039905,3.472178637064552,3740,-0.0006612984462763558,1.070783326638997,0.0,1.025
4,SNL_18650_LFP_25C_0-100_0.5/0.5C_a,LFP,graphite,snl,1.1,18650,25,100,0,0.5,0.5,4.330092755585609,4.681776691262061,11.592573001682112,1.616025067435782,0.0,2883,-0.0007649012744741764,1.113443840891558,0.0,1.059
5,SNL_18650_LFP_25C_0-100_0.5/1C_a,LFP,graphite,snl,1.1,18650,25,100,0,0.5,1.0,5.62878158251083,9.44846072270027,12.152446639324596,4.664151283753049,0.0,3510,-0.0006631537338459288,1.0746831411102395,0.0,1.029
6,SNL_18650_LFP_25C_0-100_0.5/1C_b,LFP,graphite,snl,1.1,18650,25,100,0,0.5,1.0,5.492184010312223,11.588724212711535,11.997637067804577,2.8723358335179054,0.0,2336,-0.0006548591320314444,1.0806009984124856,-0.0001666666666666853,1.0512777777777795
7,SNL_18650_LFP_25C_0-100_0.5/1C_c,LFP,graphite,snl,1.1,18650,25,100,0,0.5,1.0,4.588322005761663,10.784782509821795,9.459680306481383,0.8338609983033523,0.0,1824,-0.0006615088397120798,1.0939470127319906,-0.00011666666666665382,1.0593055555555542
8,SNL_18650_LFP_25C_0-100_0.5/1C_d,LFP,graphite,snl,1.1,18650,25,100,0,0.5,1.0,4.677689976236728,8.727197837803084,9.966284132981656,1.7546302474363524,0.0,1824,-0.0006608330304942965,1.0925251292644518,0.0,1.047
9,SNL_18650_LFP_25C_0-100_0.5/2C_a,LFP,graphite,snl,1.1,18650,25,100,0,0.5,2.0,5.496553925642607,9.097948565514102,12.014561182875639,0.16480639722224014,1.1014722642145036,2190,-0.0006565550306345596,1.0755029678225554,0.0,1.03
